,GeneSymbol,LevelOfConfidence
554,LAMB1,HighEvidence
555,LAMC3,HighEvidence
556,NDE1,HighEvidence
557,NEDD4L,HighEvidence
558,OCLN,HighEvidence
559,PAFAH1B1,HighEvidence
560,PIK3CA,HighEvidence
561,PIK3R2,HighEvidence
562,RTTN,HighEvidence
563,TUBB2A,HighEvidence
564,TUBG1,HighEvidence
565,WDR62,HighEvidence
566,ACP5,HighEvidence
567,ADAR,HighEvidence
568,COL4A1,HighEvidence
569,CTC1,HighEvidence
570,IFIH1,HighEvidence
571,JAM3,HighEvidence
572,PDGFB,HighEvidence
573,PDGFRB,HighEvidence
574,RNASEH2A,HighEvidence
575,RNASEH2B,HighEvidence
576,RNASEH2C,HighEvidence
577,SAMHD1,HighEvidence
578,SLC20A2,HighEvidence
579,TREM2,HighEvidence
580,TREX1,HighEvidence
581,USP18,HighEvidence
582,XPR1,HighEvidence
583,AARS2,HighEvidence
584,ABCD1,HighEvidence
585,ACOX1,HighEvidence
586,ALDH3A2,HighEvidence
587,ASPA,HighEvidence
588,BCAP31,HighEvidence
589,BCS1L,HighEvidence
590,CLCN2,HighEvidence
591,COQ2,HighEvidence
592,COX10,HighEvidence
593,COX15,HighEvidence
594,D2HGDH,HighEvidence
595,DARS,HighEvidence
596,DGUOK,HighEvidence
597,EARS2,HighEvidence
598,FAM126A,HighEvidence
599,FLVCR2,HighEvidence
600,FUCA1,HighEvidence
601,GALC,HighEvidence
602,GFM1,HighEvidence
603,GJA1,HighEvidence
604,HEPACAM,HighEvidence
605,HSD17B4,HighEvidence
606,L2HGDH,HighEvidence
607,LMNB1,HighEvidence
608,LYRM7,HighEvidence
609,MCOLN1,HighEvidence
610,MLC1,HighEvidence
611,MPLKIP,HighEvidence
612,MTFMT,HighEvidence
613,NDUFAF1,HighEvidence
614,NDUFS1,HighEvidence
615,NDUFS2,HighEvidence
616,NDUFS4,HighEvidence
617,NDUFS7,HighEvidence
618,NDUFS8,HighEvidence
619,NDUFV1,HighEvidence
620,NUBPL,HighEvidence
621,POLR1C,HighEvidence
622,POLR3B,HighEvidence
623,PSAP,HighEvidence
624,RARS,HighEvidence
625,RNASET2,HighEvidence
626,SCO1,HighEvidence
627,SCO2,HighEvidence
628,SCP2,HighEvidence
629,SDHAF1,HighEvidence
630,SDHB,HighEvidence
631,SLC17A5,HighEvidence
632,SLC25A12,HighEvidence
633,SOX10,HighEvidence
634,SUMF1,HighEvidence
635,SURF1,HighEvidence
636,TACO1,HighEvidence
637,DLAT,HighEvidence
638,ETHE1,HighEvidence
639,FOXP2,HighEvidence
640,GCDH,HighEvidence
641,HIBCH,HighEvidence
642,ISG15,HighEvidence
643,IVD,HighEvidence
644,MECR,HighEvidence
645,MT-ND1,HighEvidence
646,MT-ND6,HighEvidence
647,MUT,HighEvidence
648,NDUFA1,HighEvidence
649,NDUFA10,HighEvidence
650,NDUFAF2,HighEvidence
651,NDUFAF6,HighEvidence
652,PCCA,HighEvidence
653,PCCB,HighEvidence
654,PDE10A,HighEvidence
655,PDP1,HighEvidence
656,RAB39B,HighEvidence
657,SDHA,HighEvidence
658,SERAC1,HighEvidence
659,SLC19A3,HighEvidence
660,SLC25A19,HighEvidence
661,SLC39A14,HighEvidence
662,SUCLG1,HighEvidence
663,VAC14,HighEvidence
664,CHRNA4,HighEvidence
665,DEPDC5,HighEvidence
666,GABRG2,HighEvidence
667,DNAJC6,HighEvidence
668,LRRK2,HighEvidence
669,PARK7,HighEvidence
670,SNCA,HighEvidence
671,VPS35,HighEvidence
672,ACTA2,HighEvidence
673,ACVRL1,HighEvidence
674,ATR,HighEvidence
675,CCM2,HighEvidence
676,CECR1,HighEvidence
677,CEP152,HighEvidence
678,COL3A1,HighEvidence
679,ELN,HighEvidence
680,ENG,HighEvidence
681,GUCY1A3,HighEvidence
682,HBB,HighEvidence
683,JAG1,HighEvidence
684,KRIT1,HighEvidence
685,NF1,HighEvidence
686,PCNT,HighEvidence
687,PDCD10,HighEvidence
688,PKD1,HighEvidence
689,PKD2,HighEvidence
690,RASA1,HighEvidence
691,SLC2A10,HighEvidence
692,THSD1,HighEvidence
